# Sentences written for this pack (src "gen"): word<TAB>Indonesian<TAB>English. Formal/neutral
# register except the colloquial particles. Each covers a word Tatoeba shows in fewer than 2 usable sentences.
September	Ulang tahun saya pada bulan September.	My birthday is in September.
sama-sama	"Terima kasih atas bantuannya." "Sama-sama."	"Thanks for the help." "You're welcome."
selamat sore	Selamat sore, Ibu, apa kabar hari ini?	Good afternoon, ma'am, how are you today?
bentuk	Bentuk meja itu bulat dan kecil.	That table's shape is round and small.
sehingga	Hujan turun sangat lama sehingga kami tetap di rumah.	It rained for a very long time, so we stayed at home.
tanggung	Saya akan menanggung semua biayanya.	I will bear all the costs.
pasang	Tolong pasang lampu baru di dapur.	Please put a new lamp in the kitchen.
khusus	Ini hadiah khusus untuk ibumu.	This is a special gift for your mother.
lokasi	Lokasi hotel itu dekat dengan pantai.	The hotel's location is close to the beach.
alat	Ayah menyimpan alat-alatnya di dalam kotak.	Father keeps his tools in a box.
ah	Ah, saya lupa membawa kunci.	Ah, I forgot to bring the key.
adil	Guru itu selalu adil kepada semua murid.	That teacher is always fair to all the students.
sukses	Semoga kamu sukses dalam ujian besok.	I hope you succeed in the exam tomorrow.
agen	Agen perjalanan itu menjual tiket pesawat.	That travel agent sells plane tickets.
nyata	Cerita ini berdasarkan kisah nyata.	This story is based on a true story.
lepaskan	Tolong lepaskan tangan saya sekarang juga.	Please let go of my hand right now.
putar	Putar ke kiri di lampu merah.	Turn left at the red light.
fakta	Itu sebuah fakta, bukan hanya pendapat saya.	That is a fact, not just my opinion.
kisah	Ibu menceritakan kisah lama kepada kami.	Mother told us an old story.
rakyat	Presiden harus mendengarkan suara rakyat.	The president must listen to the voice of the people.
berdasarkan	Film ini dibuat berdasarkan sebuah buku.	This film was made based on a book.
berjuang	Dia berjuang keras untuk keluarganya.	He struggles hard for his family.
sosial	Dia aktif dalam kegiatan sosial.	She is active in social activities.
ketemu	Kita ketemu lagi besok, ya.	We'll meet again tomorrow, OK.
mulia	Menolong orang lain adalah pekerjaan yang mulia.	Helping other people is noble work.
bidang	Dia bekerja di bidang pendidikan.	She works in the field of education.
ledak	Bom itu meledak di tengah kota.	The bomb exploded in the middle of the city.
pahlawan	Dia adalah pahlawan bagi keluarganya.	He is a hero to his family.
kode	Masukkan kode ini di komputer.	Enter this code on the computer.
nih	Nih, saya bawakan kopi panas untuk kamu.	Here, I brought hot coffee for you.
kepercayaan	Kepercayaan itu sangat penting dalam persahabatan.	Trust is very important in friendship.
ngomong	Tadi kamu ngomong apa sama dia?	What did you say to him just now?
pecah	Gelas itu jatuh dan pecah.	The glass fell and broke.
teknologi	Teknologi baru berubah dengan sangat cepat.	New technology changes very quickly.
serta	Dia membeli roti serta susu.	He bought bread as well as milk.
berhubungan	Masalah ini berhubungan dengan uang.	This problem is related to money.
kecepatan	Kecepatan mobil itu sangat tinggi.	The speed of that car is very high.
komunikasi	Komunikasi yang baik itu penting.	Good communication is important.
berkembang	Kota ini berkembang dengan cepat.	This city is developing quickly.
pelatih	Pelatih tim kami sangat keras kepada kami.	Our team's coach is very hard on us.
tipe	Dia bukan tipe orang yang suka pesta.	He is not the type of person who likes parties.
apalagi	Saya tidak punya mobil, apalagi rumah.	I don't have a car, let alone a house.
tertentu	Toko itu hanya buka pada hari tertentu.	That shop is only open on certain days.
uji	Mereka menguji mobil baru itu.	They tested the new car.
sudut	Ada kursi di sudut kamar.	There is a chair in the corner of the room.
terbatas	Waktu kita untuk ujian ini sangat terbatas.	Our time for this exam is very limited.
departemen	Dia bekerja di departemen keuangan.	She works in the finance department.
melepaskan	Polisi melepaskan orang itu kemarin.	The police released that man yesterday.
neraka	Hari itu terasa seperti neraka.	That day felt like hell.
lokal	Kami membeli buah dari petani lokal.	We buy fruit from local farmers.
rata	Jalan di desa ini tidak rata.	The road in this village is not even.
ratu	Ratu itu tinggal di istana besar.	The queen lives in a big palace.
organisasi	Dia anggota sebuah organisasi besar.	He is a member of a large organisation.
mengurangi	Saya ingin mengurangi gula dalam kopi.	I want to reduce the sugar in my coffee.
catat	Tolong catat nomor telepon saya.	Please write down my phone number.
efek	Obat ini tidak punya efek buruk.	This medicine has no bad effects.
kerajaan	Dulu di sini ada sebuah kerajaan besar.	There used to be a big kingdom here.
mayat	Polisi menemukan mayat di dekat sungai.	The police found a body near the river.
gantung	Tolong gantung baju kamu di dalam lemari.	Please hang your clothes in the wardrobe.
liar	Banyak hewan liar tinggal di hutan itu.	Many wild animals live in that forest.
pangeran	Pangeran itu menikah dengan gadis desa.	The prince married a village girl.
beda	Apa beda kedua kata ini?	What is the difference between these two words?
jin	Anak-anak takut pada cerita jin.	The children are afraid of stories about genies.
tendang	Tendang bola itu ke sini, cepat!	Kick that ball over here, quick!
budak	Dulu banyak orang dijadikan budak.	In the past many people were made slaves.
atap	Atap rumah kami bocor waktu hujan.	Our house's roof leaks when it rains.
bibir	Bibirnya kering karena cuaca dingin.	Her lips are dry because of the cold weather.
jamin	Saya jamin makanan ini enak.	I guarantee this food is delicious.
penjahat	Polisi menangkap penjahat itu di dekat pasar.	The police caught the criminal near the market.
